"GRUPO PROFESIONAL PLANEACION Y PROYECTOS, S.A. DE C.V.","GRUPO PROFESIONAL PLANEACION Y PROYECTOS, S.A. DE C.V.",mx,1805657,[],,,[],[],,,,,,90.0,False,http://opencorporates.com/companies/mx/1805657,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1805657
"MARITIMA MEXICANA, S.A. DE C.V.",nomatch
A.G.I. MEXICANA S.A. DE C.V.,nomatch
"HERLO INDUSTRIAL, S.A. DE C.V.*",nomatch
COMPAQMA MEXICANA DE EXPLORACIONES S. A. DE C.V.,nomatch
"DELL COMPUTER DE MEXICO, S.A. DE C.V.",nomatch
SAINT MARTIN CONSTRUCCIONES S.A. DE C.V.,nomatch
"CM DEL SURESTE, S.A DE C.V.",nomatch
"WEATHERFORD DE MEXICO, S.A. DE C.V.",WEATHERFORD DE MEXICO S.A. DE C.V.,mx,1753890,[],,,[],[],,,,,,80.0,False,http://opencorporates.com/companies/mx/1753890,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1753890
TEKNICA MEXICANA S.A. DE C.V.,nomatch
BUFETE CONSTRUCTOR AMERICA.S.A. DE C.V.,nomatch
"SODEXHO MEXICO, S.A. DE C.V.",SODEXHO MEXICO S.A. DE C.V. SODEXHO,mx,2299690,[],,,[],[],,,,,,70.0,False,http://opencorporates.com/companies/mx/2299690,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=2299690
"BAKER HUGHES DE MEXICO, S. DE R.L. DE C.V.*",nomatch
OILPATCH ENTERPRISES INTERNACIONAL S.A. DE C.V.,nomatch
"ABB VETCO GRAY MÉXICO, S.A. DE C.V.",nomatch
INGENIERIA EN ALTA MEDIA Y BAJA TENSION S.A. DE C.V.,"INGENIERIA EN ALTA, MEDIA Y BAJA TENSION, S.A. DE C.V.",mx,1020471,[],,,[],[],,,,,,80.0,False,http://opencorporates.com/companies/mx/1020471,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1020471
MANTENIMIENTO MARINO DE MEXICO S. DE R.L. DE C.V.,nomatch
INSTITUTO POLITECNICO NACIONAL,INSTITUTO POLITECNICO NACIONAL,do,156546,[],,,[],[],,,,,True,60.0,False,http://opencorporates.com/companies/do/156546,https://www.onapi.gob.do/busquedas/api/signos/all?tipoBusqueda=1&texto=156546&tipo=NO/NO&clase=0&_=1360027963831
"GYRODATA DE MEXICO, S.A. DE C.V.",nomatch
"GRUPO INDUSTRIAL ELECTROMECANICO, S.A. DE C.V.",nomatch
HELISERVICIO CAMPECHE S.A. DE C.V.,nomatch
AEROSERVICIOS ESPECIALIZADOS S.A. DE C.V.,"AEROSERVICIOS ESPECIALIZADOS, S.A. DE C.V.",mx,721552,[],,,[],[],,,,,,80.0,False,http://opencorporates.com/companies/mx/721552,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=721552
"SCHLUMBERGER OFFSHORE SERVICES MEXICO, N.V.",nomatch
"GLOBAL OFFSHORE MEXICO, S. DE R. L. DE C. V.",nomatch
SERVICIOS INTEGRALES GAMA S.A. DE C.V.,nomatch
"UNIVERSAL COMPRESSION DE MEXICO, S.A. DE C.V.",nomatch
LUNA RODRIGUEZ S.A. DE C.V.,"LUNA RODRIGUEZ, S.A. DE C.V.",mx,111423,[],,,[],[],,,,,,80.0,False,http://opencorporates.com/companies/mx/111423,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=111423
COOPER CAMERON CORPORATION / COOPER CAMERON DE MEXICO S.A DE C.V.,nomatch
ARTICULOS ELECTRICOS INDUSTRIALES DEL CARMEN S.A.,"ARTICULOS ELECTRICOS INDUSTRIALES DEL CARMEN, S.A. DE C.V.",mx,2153065,[],,,[],[],,,,,,70.0,False,http://opencorporates.com/companies/mx/2153065,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=2153065
"CRYOINFRA, S.A. DE C.V.","CRYOINFRA, S.A. DE C.V.",mx,957036,[],,,[],[],,,,,,90.0,False,http://opencorporates.com/companies/mx/957036,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=957036
"CONSTRUCTORA SUBACUATICA DIAVAZ, S.A. DE C.V.","CONSTRUCTORA SUBACUATICA DIAVAZ, S.A. DE C.V.",mx,1297080,[],,,[],[],,,,,,90.0,False,http://opencorporates.com/companies/mx/1297080,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1297080
CORPORATIVO INDUSTRIAL Y COMERCIAL S.A. DE C.V.,nomatch
DRESSER-RAND COMPANY,DRESSER-RAND COMPANY,us_md,C14164933,[],,,[],[],,,,,False,90.0,False,http://opencorporates.com/companies/us_md/C14164933,http://sdatcert3.resiusa.org/UCC-Charter/DisplayEntity_b.aspx?EntityID=C14164933&EntityName=DRESSER-RAND+COMPANY+++++++++++++++++++++++++++++++++++++++&TabNum=1
"NAVIERA TAMAULIPAS, S.A. DE C.V.","Naviera Tamaulipas, S.A. de C.V.",us_al,922-802,[],"LOTT, VICTOR HResigned: 2-23-2004","1 ST LOUIS ST STE 4500
MOBILE, AL 36602",[],[],,"Naviera Tamaulipas, S.A. de C.V.",mx,https://opencorporates.com/placeholders/31866118,False,65.0,False,http://opencorporates.com/companies/us_al/922-802,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=922802
CONSTRUCTORA SUBACUATICA DIAVAZ S.A. DE C.V.,"CONSTRUCTORA SUBACUATICA DIAVAZ, S.A. DE C.V.",mx,1297080,[],,,[],[],,,,,,80.0,False,http://opencorporates.com/companies/mx/1297080,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1297080
STANLEY ADAMS S.A. DE C.V.,STANLEY ADAMS S.A DE C.V.,mx,1114655,[],,,[],[],,,,,,80.0,False,http://opencorporates.com/companies/mx/1114655,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1114655
"GRUPO METELMEX, S.A. DE C.V.",GRUPO METELMEX S.A. DE C.V.,mx,983410,[],,,[],[],,,,,,80.0,False,http://opencorporates.com/companies/mx/983410,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=983410
